"GoId","Aspect"
"GO:0050883","P"
"GO:0060161","P"
"GO:0001992","P"
"GO:0033861","P"
"GO:0001530","F"
"GO:0004252","F"
"GO:0005796","C"
"GO:0008083","F"
"GO:0051838","P"
"GO:0051918","P"
"GO:0070053","F"
"GO:0070945","P"
"GO:1900016","P"
"GO:1900738","P"
"GO:0008385","C"
"GO:0035631","C"
"GO:0035666","P"
"GO:0031625","F"
"GO:0035026","P"
"GO:0035976","C"
"GO:0043922","P"
"GO:0045657","P"
"GO:0051365","P"
"GO:0070412","F"
"GO:0071837","F"
"GO:1990441","P"
"GO:0000320","P"
"GO:0003714","F"
"GO:0010971","P"
"GO:0033601","P"
"GO:0045737","P"
"GO:0070064","F"
"GO:0070141","P"
"GO:0071157","P"
"GO:0097421","P"
"GO:0002741","P"
"GO:0006975","P"
"GO:0010759","P"
"GO:0031143","C"
"GO:0032212","P"
"GO:0033129","P"
"GO:0038096","P"
"GO:0042473","P"
"GO:0048538","P"
"GO:0060020","P"
"GO:0060440","P"
"GO:0090170","P"
"GO:1900034","P"
"GO:1904355","P"
"GO:2000657","P"
"GO:0010800","P"
"GO:0015966","P"
"GO:0019858","P"
"GO:0031435","F"
"GO:0060716","P"
"GO:0097011","P"
"GO:0005547","F"
"GO:0010748","P"
"GO:0010918","P"
"GO:0030235","F"
"GO:0031295","P"
"GO:0031999","P"
"GO:0032079","P"
"GO:0032287","P"
"GO:0032794","F"
"GO:0043325","F"
"GO:0045725","P"
"GO:0045746","P"
"GO:0045792","P"
"GO:0046326","P"
"GO:0060709","P"
"GO:0071889","F"
"GO:0090201","P"
"GO:0100002","P"
"GO:0140052","P"
"GO:1903721","P"
"GO:1990418","P"
"GO:0015127","F"
"GO:0015694","P"
"GO:0015723","P"
"GO:0030644","P"
"GO:0070327","P"
"GO:1901086","P"
"GO:0015949","P"
"GO:0004791","F"
"GO:0002930","P"
"GO:0030199","P"
"GO:0033629","P"
"GO:0042574","P"
"GO:0061304","P"
"GO:0071603","P"
"GO:0004861","F"
"GO:0006977","P"
"GO:0019912","F"
"GO:0030332","F"
"GO:0045736","P"
"GO:0060574","P"
"GO:0070557","C"
"GO:0071493","P"
"GO:0071850","P"
"GO:0090399","P"
"GO:1905179","P"
"GO:0000979","F"
"GO:0060766","P"
"GO:1904837","P"
"GO:0007182","P"
"GO:0030578","P"
"GO:0042406","C"
"GO:0043153","P"
"GO:0050713","P"
"GO:0004032","F"
"GO:0018636","F"
"GO:0042448","P"
"GO:0044597","P"
"GO:0044598","P"
"GO:0047086","F"
"GO:0047115","F"
"GO:0047718","F"
"GO:0071395","P"
"GO:0043531","F"
"GO:0008607","F"
"GO:0014873","P"
"GO:0004962","F"
"GO:0048484","P"
"GO:0086100","P"
"GO:0000733","P"
"GO:0001094","F"
"GO:0002309","P"
"GO:0007406","P"
"GO:0008340","P"
